Name,Url,Race
"Adanel","http://lotr.wikia.com//wiki/Adanel",Human
"Adrahil I","http://lotr.wikia.com//wiki/Adrahil_I",Human
"Adrahil II","http://lotr.wikia.com//wiki/Adrahil_II",Human
"Aegnor","http://lotr.wikia.com//wiki/Aegnor",Elf
"Aerin","http://lotr.wikia.com//wiki/Aerin",Human
"Aglahad","http://lotr.wikia.com//wiki/Aglahad",Human
"Ailinel","http://lotr.wikia.com//wiki/Ailinel",Human
"Aldamir","http://lotr.wikia.com//wiki/Aldamir",Human
"Aldor","http://lotr.wikia.com//wiki/Aldor",Human
"Algund","http://lotr.wikia.com//wiki/Algund",Human
"Almarian","http://lotr.wikia.com//wiki/Almarian",Human
"Almiel","http://lotr.wikia.com//wiki/Almiel",Human
"Alphros","http://lotr.wikia.com//wiki/Alphros",Human
"Amandil","http://lotr.wikia.com//wiki/Amandil",Human
"Amarië","http://lotr.wikia.com//wiki/Amari%C3%AB",Elf
"Amdír","http://lotr.wikia.com//wiki/Amd%C3%ADr",Elf
"Amlaith","http://lotr.wikia.com//wiki/Amlaith",Human
"Amras","http://lotr.wikia.com//wiki/Amras",Elf
"Amrod","http://lotr.wikia.com//wiki/Amrod",Elf
"Amroth","http://lotr.wikia.com//wiki/Amroth",Elf
"Amrothos","http://lotr.wikia.com//wiki/Amrothos",Human
"Anairë","http://lotr.wikia.com//wiki/Anair%C3%AB",Elf
"Anardil","http://lotr.wikia.com//wiki/Anardil",Human
"Anborn","http://lotr.wikia.com//wiki/Anborn",Human
"Andreth","http://lotr.wikia.com//wiki/Andreth",Human
"Andróg","http://lotr.wikia.com//wiki/Andr%C3%B3g",Human
"Angamaitë","http://lotr.wikia.com//wiki/Angamait%C3%AB",Human
"Angbor","http://lotr.wikia.com//wiki/Angbor",Human
"Angelimir","http://lotr.wikia.com//wiki/Angelimir",Human
"Angrod","http://lotr.wikia.com//wiki/Angrod",Elf
"Annael","http://lotr.wikia.com//wiki/Annael",Elf
"Anárion","http://lotr.wikia.com//wiki/An%C3%A1rion",Human
"Ar-Adûnakhôr","http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r",Human
"Ar-Gimilzôr","http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r",Human
"Ar-Pharazôn","http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n",Human
"Ar-Sakalthôr","http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r",Human
"Ar-Zimrathôn","http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n",Human
"Arador","http://lotr.wikia.com//wiki/Arador",Human
"Araglas","http://lotr.wikia.com//wiki/Araglas",Human
"Aragorn I","http://lotr.wikia.com//wiki/Aragorn_I",Human
"Aragorn II Elessar","http://lotr.wikia.com//wiki/Aragorn_II_Elessar",Human
"Aragost","http://lotr.wikia.com//wiki/Aragost",Human
"Arahad I","http://lotr.wikia.com//wiki/Arahad_I",Human
"Arahad II","http://lotr.wikia.com//wiki/Arahad_II",Human
"Arahael","http://lotr.wikia.com//wiki/Arahael",Human
"Aranarth","http://lotr.wikia.com//wiki/Aranarth",Human
"Arantar","http://lotr.wikia.com//wiki/Arantar",Human
"Aranuir","http://lotr.wikia.com//wiki/Aranuir",Human
"Aranwë","http://lotr.wikia.com//wiki/Aranw%C3%AB",Elf
"Araphant","http://lotr.wikia.com//wiki/Araphant",Human
"Araphor","http://lotr.wikia.com//wiki/Araphor",Human
"Arassuil","http://lotr.wikia.com//wiki/Arassuil",Human
"Aratan","http://lotr.wikia.com//wiki/Aratan",Human
"Arathorn I","http://lotr.wikia.com//wiki/Arathorn_I",Human
"Arathorn II","http://lotr.wikia.com//wiki/Arathorn_II",Human
"Araval","http://lotr.wikia.com//wiki/Araval",Human
"Aravir","http://lotr.wikia.com//wiki/Aravir",Human
"Aravorn","http://lotr.wikia.com//wiki/Aravorn",Human
"Arciryas","http://lotr.wikia.com//wiki/Arciryas",Human
"Ardamir (son of Axantur)","http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur)",Human
"Aredhel","http://lotr.wikia.com//wiki/Aredhel",Elf
"Argeleb I","http://lotr.wikia.com//wiki/Argeleb_I",Human
"Argeleb II","http://lotr.wikia.com//wiki/Argeleb_II",Human
"Argon","http://lotr.wikia.com//wiki/Argon",Elf
"Argonui","http://lotr.wikia.com//wiki/Argonui",Human
"Arminas","http://lotr.wikia.com//wiki/Arminas",Elf
"Arthad","http://lotr.wikia.com//wiki/Arthad",Human
"Arvedui","http://lotr.wikia.com//wiki/Arvedui",Human
"Arvegil","http://lotr.wikia.com//wiki/Arvegil",Human
"Arveleg I","http://lotr.wikia.com//wiki/Arveleg_I",Human
"Arveleg II","http://lotr.wikia.com//wiki/Arveleg_II",Human
"Arwen","http://lotr.wikia.com//wiki/Arwen",Elf
"Atanalcar","http://lotr.wikia.com//wiki/Atanalcar",Human
"Atanatar I","http://lotr.wikia.com//wiki/Atanatar_I",Human
"Atanatar II","http://lotr.wikia.com//wiki/Atanatar_II",Human
"Aulendil (Vardamir's son)","http://lotr.wikia.com//wiki/Aulendil_(Vardamir%27s_son)",Human
"Axantur","http://lotr.wikia.com//wiki/Axantur",Human
"Azaghâl","http://lotr.wikia.com//wiki/Azagh%C3%A2l",Dwarf
"Angelica Baggins","http://lotr.wikia.com//wiki/Angelica_Baggins",Hobbit
"Balbo Baggins","http://lotr.wikia.com//wiki/Balbo_Baggins",Hobbit
"Belladonna (Took) Baggins","http://lotr.wikia.com//wiki/Belladonna_(Took)_Baggins",Hobbit
"Berylla (Boffin) Baggins","http://lotr.wikia.com//wiki/Berylla_(Boffin)_Baggins",Hobbit
"Bungo Baggins","http://lotr.wikia.com//wiki/Bungo_Baggins",Hobbit
"Drogo Baggins","http://lotr.wikia.com//wiki/Drogo_Baggins",Hobbit
"Dudo Baggins","http://lotr.wikia.com//wiki/Dudo_Baggins",Hobbit
"Fosco Baggins","http://lotr.wikia.com//wiki/Fosco_Baggins",Hobbit
"Frodo Baggins","http://lotr.wikia.com//wiki/Frodo_Baggins",Hobbit
