,_id,Name,Url,Race,birth,death,gender,hair,height,realm,spouse,race
0,ObjectId(5cd99d4bde30eff6ebccfbbe),Adanel,http://lotr.wikia.com//wiki/Adanel,Human,,,Female,,,,Belemir,Men
1,ObjectId(5cd99d4bde30eff6ebccfbbf),Adrahil I,http://lotr.wikia.com//wiki/Adrahil_I,Human,"Before ,TA 1944","Late ,Third Age",Male,,,,,Men
2,ObjectId(5cd99d4bde30eff6ebccfbc0),Adrahil II,http://lotr.wikia.com//wiki/Adrahil_II,Human,TA 2917,TA 3010,Male,,,,Unnamed wife,Men
3,ObjectId(5cd99d4bde30eff6ebccfbc1),Aegnor,http://lotr.wikia.com//wiki/Aegnor,Elf,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,,"Loved ,Andreth but remained unmarried",Elves
4,ObjectId(5cd99d4bde30eff6ebccfbc2),Aerin,http://lotr.wikia.com//wiki/Aerin,Human,"Mid ,First Age",FA 495,Female,,,,Brodda,Men
5,ObjectId(5cd99d4bde30eff6ebccfbc3),Ailinel,http://lotr.wikia.com//wiki/Ailinel,Human,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,,Orchaldor,Men
6,ObjectId(5cd99d4bde30eff6ebccfbc4),Aglahad,http://lotr.wikia.com//wiki/Aglahad,Human,TA 2827,TA 2932,Male,,,,Unnamed wife,Men
7,ObjectId(5cd99d4bde30eff6ebccfbc5),Algund,http://lotr.wikia.com//wiki/Algund,Human,"Late ,First Age",FA 489,Male,,,,None known,Men
8,ObjectId(5cd99d4bde30eff6ebccfbc6),Almiel,http://lotr.wikia.com//wiki/Almiel,Human,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,,,Men
9,ObjectId(5cd99d4bde30eff6ebccfbc7),Alphros,http://lotr.wikia.com//wiki/Alphros,Human,TA 3017,FO 95,Male,,,,,Men
10,ObjectId(5cd99d4bde30eff6ebccfbc8),Almarian,http://lotr.wikia.com//wiki/Almarian,Human,,,Female,,,Númenor,Tar-Meneldur,Men
11,ObjectId(5cd99d4bde30eff6ebccfbc9),Amandil,http://lotr.wikia.com//wiki/Amandil,Human,"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,,Unnamed wife,Men
12,ObjectId(5cd99d4bde30eff6ebccfbca),Amarië,http://lotr.wikia.com//wiki/Amari%C3%AB,Elf,YT,Still alive,Female,,,,"Loved ,Finrod, but it is unknown whether they married",Elves
13,ObjectId(5cd99d4bde30eff6ebccfbcb),Aldor,http://lotr.wikia.com//wiki/Aldor,Human,TA 2544,TA 2645,Male,,,Rohan,Unnamed wife,Men
14,ObjectId(5cd99d4bde30eff6ebccfbcc),Aldamir,http://lotr.wikia.com//wiki/Aldamir,Human,TA 1330,TA 1540,Male,,,Gondor,Unnamed wife,Men
15,ObjectId(5cd99d4bde30eff6ebccfbcd),Amlaith,http://lotr.wikia.com//wiki/Amlaith,Human,TA 726,TA 946,Male,,,Arthedain,Unnamed wife,Men
16,ObjectId(5cd99d4bde30eff6ebccfbce),Amroth,http://lotr.wikia.com//wiki/Amroth,Elf,,TA 1981,Male,Golden,,Lórien,Nimrodel,Elves
17,ObjectId(5cd99d4bde30eff6ebccfbcf),Amrothos,http://lotr.wikia.com//wiki/Amrothos,Human,TA 2994,,Male,,,,,Men
18,ObjectId(5cd99d4bde30eff6ebccfbd0),Anairë,http://lotr.wikia.com//wiki/Anair%C3%AB,Elf,YT,,Female,,,,Fingolfin,Elves
19,ObjectId(5cd99d4bde30eff6ebccfbd1),Anardil,http://lotr.wikia.com//wiki/Anardil,Human,TA 136,TA 411,Male,,,Gondor,Unnamed wife,Men
20,ObjectId(5cd99d4bde30eff6ebccfbd2),Anborn,http://lotr.wikia.com//wiki/Anborn,Human,"Late ,Third Age",,Male,Dark,,,,Men
21,ObjectId(5cd99d4bde30eff6ebccfbd3),Andreth,http://lotr.wikia.com//wiki/Andreth,Human,FA 361,FA 455,Female,Dark brown,,,"Loved ,Aegnor, but they never married",Men
22,ObjectId(5cd99d4bde30eff6ebccfbd4),Andróg,http://lotr.wikia.com//wiki/Andr%C3%B3g,Human,FA 440,FA 489,Male,,,,Unnamed wife,Men
23,ObjectId(5cd99d4bde30eff6ebccfbd5),Amras,http://lotr.wikia.com//wiki/Amras,Elf,Years of the Trees,FA 538,Male,Dark red,,Estolad,None,Elf
24,ObjectId(5cd99d4bde30eff6ebccfbd6),Angamaitë,http://lotr.wikia.com//wiki/Angamait%C3%AB,Human,"Mid-,Third Age",,Male,,,,,Men
25,ObjectId(5cd99d4bde30eff6ebccfbd7),Amdír,http://lotr.wikia.com//wiki/Amd%C3%ADr,Elf,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Lórien,Unnamed wife,Elves
26,ObjectId(5cd99d4bde30eff6ebccfbd8),Amrod,http://lotr.wikia.com//wiki/Amrod,Elf,Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,,None,Elves
27,ObjectId(5cd99d4bde30eff6ebccfbd9),Annael,http://lotr.wikia.com//wiki/Annael,Elf,,,Male,,,,,Elves
28,ObjectId(5cd99d4bde30eff6ebccfbda),Angbor,http://lotr.wikia.com//wiki/Angbor,Human,"Late ,Third Age",,Male,,,,,Men
29,ObjectId(5cd99d4bde30eff6ebccfbdb),Angelimir,http://lotr.wikia.com//wiki/Angelimir,Human,TA 2866,TA 2977,Male,,,,Unnamed wife,Men
30,ObjectId(5cd99d4bde30eff6ebccfbdc),Angrod,http://lotr.wikia.com//wiki/Angrod,Elf,YT,FA 455,Male,Golden,,,Eldalótë,Elves
31,ObjectId(5cd99d4bde30eff6ebccfbdd),Anárion,http://lotr.wikia.com//wiki/An%C3%A1rion,Human,SA 3219,SA 3440,Male,,,Gondor,Unnamed wife,Men
32,ObjectId(5cd99d4bde30eff6ebccfbde),Ar-Adûnakhôr,http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r,Human,SA 2709,SA 2962,Male,,,Númenor,Unnamed wife,Men
33,ObjectId(5cd99d4bde30eff6ebccfbdf),Ar-Gimilzôr,http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r,Human,SA 2960,SA 3177,Male,,,Númenor,Inzilbêth,Men
34,ObjectId(5cd99d4bde30eff6ebccfbe0),Ar-Zimrathôn,http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n,Human,SA 2798,SA 3033,Male,,,Númenor,Unnamed wife,Men
35,ObjectId(5cd99d4bde30eff6ebccfbe1),Ar-Pharazôn,http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n,Human,SA 3118,Still alive,Male,,Tall,Númenor,Tar-Míriel,Men
36,ObjectId(5cd99d4bde30eff6ebccfbe2),Ar-Sakalthôr,http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r,Human,SA 2876,SA 3102,Male,,,Númenor,Unnamed wife,Men
37,ObjectId(5cd99d4bde30eff6ebccfbe3),Arador,http://lotr.wikia.com//wiki/Arador,Human,TA 2820,TA 2930,Male,"Dark, then grey (film)",,,Unnamed wife,Men
38,ObjectId(5cd99d4bde30eff6ebccfbe4),Araglas,http://lotr.wikia.com//wiki/Araglas,Human,TA 2296,TA 2455,Male,,,,Unnamed wife,Men
39,ObjectId(5cd99d4bde30eff6ebccfbe5),Aragorn I,http://lotr.wikia.com//wiki/Aragorn_I,Human,TA 2227,TA 2327,Male,,,,Unnamed wife,Men
40,ObjectId(5cd99d4bde30eff6ebccfbe6),Aragorn II Elessar,http://lotr.wikia.com//wiki/Aragorn_II_Elessar,Human,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")","Reunited Kingdom,Arnor,Gondor",Arwen,Men
41,ObjectId(5cd99d4bde30eff6ebccfbe7),Aragost,http://lotr.wikia.com//wiki/Aragost,Human,TA 2431,TA 2588,Male,,,,Unnamed wife,Men
42,ObjectId(5cd99d4bde30eff6ebccfbe8),Arahad I,http://lotr.wikia.com//wiki/Arahad_I,Human,TA 2365,TA 2523,Male,,,,Unnamed wife,Men
43,ObjectId(5cd99d4bde30eff6ebccfbe9),Arahad II,http://lotr.wikia.com//wiki/Arahad_II,Human,TA 2563,TA 2719,Male,,,,Unnamed wife,Men
44,ObjectId(5cd99d4bde30eff6ebccfbea),Arahael,http://lotr.wikia.com//wiki/Arahael,Human,TA 2012,TA 2177,Male,,,,Unnamed wife,Men
45,ObjectId(5cd99d4bde30eff6ebccfbeb),Aranarth,http://lotr.wikia.com//wiki/Aranarth,Human,TA 1938,TA 2106,Male,,,,Unnamed wife,Men
46,ObjectId(5cd99d4bde30eff6ebccfbec),Arantar,http://lotr.wikia.com//wiki/Arantar,Human,TA 185,TA 435,Male,,,Arnor,Unnamed wife,Men
47,ObjectId(5cd99d4bde30eff6ebccfbed),Aranuir,http://lotr.wikia.com//wiki/Aranuir,Human,TA 2084,TA 2247,Male,,,,Unnamed wife,Men
48,ObjectId(5cd99d4bde30eff6ebccfbee),Aranwë,http://lotr.wikia.com//wiki/Aranw%C3%AB,Elf,,,Male,,,,Unnamed wife,Elves
49,ObjectId(5cd99d4bde30eff6ebccfbef),Araphant,http://lotr.wikia.com//wiki/Araphant,Human,TA 1789,TA 1964,Male,,,Arthedain,Unnamed wife,Men
50,ObjectId(5cd99d4bde30eff6ebccfbf0),Arathorn I,http://lotr.wikia.com//wiki/Arathorn_I,Human,TA 2693,TA 2848,Male,,,,Unnamed wife,Men
51,ObjectId(5cd99d4bde30eff6ebccfbf1),Arathorn II,http://lotr.wikia.com//wiki/Arathorn_II,Human,TA 2873,TA 2933,Male,Dark (film),,,Gilraen,Men
52,ObjectId(5cd99d4bde30eff6ebccfbf2),Araval,http://lotr.wikia.com//wiki/Araval,Human,TA 1711,TA 1891,Male,,,"Arthedain,Arnor",Unnamed wife,Men
53,ObjectId(5cd99d4bde30eff6ebccfbf3),Aravir,http://lotr.wikia.com//wiki/Aravir,Human,TA 2156,TA 2319,Male,,,,Unnamed wife,Men
54,ObjectId(5cd99d4bde30eff6ebccfbf4),Aravorn,http://lotr.wikia.com//wiki/Aravorn,Human,TA 2497,TA 2654,Male,,,,Unnamed wife,Men
55,ObjectId(5cd99d4bde30eff6ebccfbf5),Arciryas,http://lotr.wikia.com//wiki/Arciryas,Human,"After ,TA 1684",,Male,,,,Unnamed wife,Men
