_id,Name,Url,Race,birth,death,gender,hair,height,realm,spouse,race
ObjectId(5cd99d4bde30eff6ebccfbbe),Adanel,http://lotr.wikia.com//wiki/Adanel,Human,,,Female,,,,Belemir,Men
ObjectId(5cd99d4bde30eff6ebccfbbf),Adrahil I,http://lotr.wikia.com//wiki/Adrahil_I,Human,"Before ,TA 1944","Late ,Third Age",Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbc0),Adrahil II,http://lotr.wikia.com//wiki/Adrahil_II,Human,TA 2917,TA 3010,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbc1),Aegnor,http://lotr.wikia.com//wiki/Aegnor,Elf,"YT during the ,Noontide of Valinor",FA 455,Male,Golden,,,"Loved ,Andreth but remained unmarried",Elves
ObjectId(5cd99d4bde30eff6ebccfbc2),Aerin,http://lotr.wikia.com//wiki/Aerin,Human,"Mid ,First Age",FA 495,Female,,,,Brodda,Men
ObjectId(5cd99d4bde30eff6ebccfbc3),Ailinel,http://lotr.wikia.com//wiki/Ailinel,Human,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,,Orchaldor,Men
ObjectId(5cd99d4bde30eff6ebccfbc4),Aglahad,http://lotr.wikia.com//wiki/Aglahad,Human,TA 2827,TA 2932,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbc5),Algund,http://lotr.wikia.com//wiki/Algund,Human,"Late ,First Age",FA 489,Male,,,,None known,Men
ObjectId(5cd99d4bde30eff6ebccfbc6),Almiel,http://lotr.wikia.com//wiki/Almiel,Human,"Between ,SA 700, and ,SA 750","Early ,Second Age",Female,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbc7),Alphros,http://lotr.wikia.com//wiki/Alphros,Human,TA 3017,FO 95,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbc8),Almarian,http://lotr.wikia.com//wiki/Almarian,Human,,,Female,,,Númenor,Tar-Meneldur,Men
ObjectId(5cd99d4bde30eff6ebccfbc9),Amandil,http://lotr.wikia.com//wiki/Amandil,Human,"Late ,Second Age",Sailed West either SA 3310 fate unknown,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbca),Amarië,http://lotr.wikia.com//wiki/Amari%C3%AB,Elf,YT,Still alive,Female,,,,"Loved ,Finrod, but it is unknown whether they married",Elves
ObjectId(5cd99d4bde30eff6ebccfbcb),Aldor,http://lotr.wikia.com//wiki/Aldor,Human,TA 2544,TA 2645,Male,,,Rohan,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbcc),Aldamir,http://lotr.wikia.com//wiki/Aldamir,Human,TA 1330,TA 1540,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbcd),Amlaith,http://lotr.wikia.com//wiki/Amlaith,Human,TA 726,TA 946,Male,,,Arthedain,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbce),Amroth,http://lotr.wikia.com//wiki/Amroth,Elf,,TA 1981,Male,Golden,,Lórien,Nimrodel,Elves
ObjectId(5cd99d4bde30eff6ebccfbcf),Amrothos,http://lotr.wikia.com//wiki/Amrothos,Human,TA 2994,,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbd0),Anairë,http://lotr.wikia.com//wiki/Anair%C3%AB,Elf,YT,,Female,,,,Fingolfin,Elves
ObjectId(5cd99d4bde30eff6ebccfbd1),Anardil,http://lotr.wikia.com//wiki/Anardil,Human,TA 136,TA 411,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbd2),Anborn,http://lotr.wikia.com//wiki/Anborn,Human,"Late ,Third Age",,Male,Dark,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbd3),Andreth,http://lotr.wikia.com//wiki/Andreth,Human,FA 361,FA 455,Female,Dark brown,,,"Loved ,Aegnor, but they never married",Men
ObjectId(5cd99d4bde30eff6ebccfbd4),Andróg,http://lotr.wikia.com//wiki/Andr%C3%B3g,Human,FA 440,FA 489,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbd5),Amras,http://lotr.wikia.com//wiki/Amras,Elf,Years of the Trees,FA 538,Male,Dark red,,Estolad,None,Elf
ObjectId(5cd99d4bde30eff6ebccfbd6),Angamaitë,http://lotr.wikia.com//wiki/Angamait%C3%AB,Human,"Mid-,Third Age",,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbd7),Amdír,http://lotr.wikia.com//wiki/Amd%C3%ADr,Elf,"Sometime during ,Years of the Trees, or the ,First Age",SA 3434,Male,,,Lórien,Unnamed wife,Elves
ObjectId(5cd99d4bde30eff6ebccfbd8),Amrod,http://lotr.wikia.com//wiki/Amrod,Elf,Years of the Trees,"YT 1497 ,Losgar",Male,Dark red,,,None,Elves
ObjectId(5cd99d4bde30eff6ebccfbd9),Annael,http://lotr.wikia.com//wiki/Annael,Elf,,,Male,,,,,Elves
ObjectId(5cd99d4bde30eff6ebccfbda),Angbor,http://lotr.wikia.com//wiki/Angbor,Human,"Late ,Third Age",,Male,,,,,Men
ObjectId(5cd99d4bde30eff6ebccfbdb),Angelimir,http://lotr.wikia.com//wiki/Angelimir,Human,TA 2866,TA 2977,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbdc),Angrod,http://lotr.wikia.com//wiki/Angrod,Elf,YT,FA 455,Male,Golden,,,Eldalótë,Elves
ObjectId(5cd99d4bde30eff6ebccfbdd),Anárion,http://lotr.wikia.com//wiki/An%C3%A1rion,Human,SA 3219,SA 3440,Male,,,Gondor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbde),Ar-Adûnakhôr,http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r,Human,SA 2709,SA 2962,Male,,,Númenor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbdf),Ar-Gimilzôr,http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r,Human,SA 2960,SA 3177,Male,,,Númenor,Inzilbêth,Men
ObjectId(5cd99d4bde30eff6ebccfbe0),Ar-Zimrathôn,http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n,Human,SA 2798,SA 3033,Male,,,Númenor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe1),Ar-Pharazôn,http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n,Human,SA 3118,Still alive,Male,,Tall,Númenor,Tar-Míriel,Men
ObjectId(5cd99d4bde30eff6ebccfbe2),Ar-Sakalthôr,http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r,Human,SA 2876,SA 3102,Male,,,Númenor,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe3),Arador,http://lotr.wikia.com//wiki/Arador,Human,TA 2820,TA 2930,Male,"Dark, then grey (film)",,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe4),Araglas,http://lotr.wikia.com//wiki/Araglas,Human,TA 2296,TA 2455,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe5),Aragorn I,http://lotr.wikia.com//wiki/Aragorn_I,Human,TA 2227,TA 2327,Male,,,,Unnamed wife,Men
ObjectId(5cd99d4bde30eff6ebccfbe6),Aragorn II Elessar,http://lotr.wikia.com//wiki/Aragorn_II_Elessar,Human,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")","Reunited Kingdom,Arnor,Gondor",Arwen,Men
ObjectId(5cd99d4bde30eff6ebccfbe7),Aragost,http://lotr.wikia.com//wiki/Aragost,Human,TA 2431,TA 2588,Male,,,,Unnamed wife,Men
