_id,id,dialog,movie,character
ObjectId(5cd96e05de30eff6ebcce7e9),3,Deagol!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7ea),4,Deagol!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7eb),5,Deagol!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7ec),6,Give us that! Deagol my love,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7ed),7,Why?,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfca7)
ObjectId(5cd96e05de30eff6ebcce7ee),8,"Because' , it's my birthday and I wants it.  ",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7ef),2,Arrghh!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfca7)
ObjectId(5cd96e05de30eff6ebcce7f0),10,They cursed us,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7f1),11,Murderer),ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7f2),12,'Murderer' they called us. They cursed us and drove us away.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7f3),1,"Pull it in! Go on, go on, go on, pull it in!  ",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7f4),0,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfca7)
ObjectId(5cd96e05de30eff6ebcce7f5),9,My precious.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9e)
ObjectId(5cd96e05de30eff6ebcce7f6),16,Gandalf?,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15)
ObjectId(5cd96e05de30eff6ebcce7f7),17,Oooohhh!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15)
ObjectId(5cd96e05de30eff6ebcce7f8),18,Frodo!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc7c)
ObjectId(5cd96e05de30eff6ebcce7f9),19,Aaaahh!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd23)
