name,aliases,titles,rule,race,birth,death,gender,culture,languages,hair,height,realm,spouse,children,weapon,wikiUrl,imageUrl,_id
Adanel,,,,human,,,Female,Edain (House of Marach),,,,,Belemir,,,http://lotr.wikia.com//wiki/Adanel,,ObjectId(5cd99d4bde30eff6ebccfbbe)
Adrahil I,Adrahil of Dol Amroth,Prince of Belfalas,fl. TA 1944,Human,Before TA 1944,Late Third Age,Male,Men of Gondor,Westron,,,Belfalas,,Ancestor of Imrazôr,,http://lotr.wikia.com//wiki/Adrahil_I,,ObjectId(5cd99d4bde30eff6ebccfbbf)
Adrahil II,,Prince of Dol Amroth,TA 2977 - TA 3010,Human,TA 2917,TA 3010,Male,"Dúnedain(House of Dol Amroth), Men of Gondor",,,,,Unnamed wife,"Ivriniel, FInduilas, Imrahil",,http://lotr.wikia.com//wiki/Adrahil_II,,ObjectId(5cd99d4bde30eff6ebccfbc0)
Aegnor,"Egnor, Aikanár, Aikanáro, Ambaráto",Lord of Dorthonion,,Elf,YT ? during the Noontide of Valinor,FiA 455,Male,"Ñoldor (House of Finarfin), Falmari (House of Olwë)","Quenya, Sindarin",Golden,,,"Loved Andreth, but they never married",,,http://lotr.wikia.com//wiki/Aegnor,http://www.tolkiengateway.net/w/images/3/32/Elena_Kukanova_-_Aegnor_2.jpg,ObjectId(5cd99d4bde30eff6ebccfbc1)
Aerin,,Lady Aerin,,Human,Mid FiA,FiA 495,Female,"Edain (House of Hador), Men of Dor-lómin",,,,,Brodda,,,http://lotr.wikia.com//wiki/Aerin,http://www.tolkiengateway.net/w/images/9/94/Turner_Mohan_-_Aerin.jpg,ObjectId(5cd99d4bde30eff6ebccfbc2)
Ailinel,,,,Human,SA 712,Early Second Age ?,Female,Númenóreans (House of Elros),"Adûnaic, Sindarin, Quenya",,,,Orchaldor,Soronto,,http://lotr.wikia.com//wiki/Ailinel,,ObjectId(5cd99d4bde30eff6ebccfbc3)
Aglahad,,Prince of Dol Amroth,TA 2899 - TA 2932,Human,TA 2827,TA 2932,Male,"Dúnedain, Men of Gondor (House of Dol Amroth)",Westron,,,,Unnamed wife,Angelimir,,http://lotr.wikia.com//wiki/Aglahad,,ObjectId(5cd99d4bde30eff6ebccfbc4)
Algund,,,,Human,Late FiA ?,FiA 489 ?,Male,Edain (Men of Dor-lómin),Mannish dialect,,,,Unknown,,Sword,http://lotr.wikia.com//wiki/Algund,,ObjectId(5cd99d4bde30eff6ebccfbc5)
Almiel,,,,Human,SA 729,Early Second Age,Female,Númenóreans (House of Elros),"Adûnaic, Sindarin, Quenya",,,,,,,http://lotr.wikia.com//wiki/Almiel,,ObjectId(5cd99d4bde30eff6ebccfbc6)
Alphros,,Prince of Dol Amroth,FA 67 - FA 95,Human,TA 3017,FoA 95,Male,"Dúnedain, Men of Gondor (House of Dol Amroth)",Westron,,,,,,,http://lotr.wikia.com//wiki/Alphros,,ObjectId(5cd99d4bde30eff6ebccfbc7)
Almarian,,Queen of Númenor,SA 740 - SA 883,Human,Before SA 700,After SA 900,Female,Númenóreans,"Adûnaic, Sindarin, Quenya",,,Númenor,Tar-Meneldur,"Anardil, Ailinel, Almiel",,http://lotr.wikia.com//wiki/Almarian,,ObjectId(5cd99d4bde30eff6ebccfbc8)
