birth,death,gender,hair,height,name,race,realm,spouse
,,Female,,,Adanel,Men,,Belemir
TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Boromir,Men,,
,"March ,3019",Male,,,Lagduf,Orcs,,
TA 280,TA 515,Male,,,Tarcil,Men,Arnor,Unnamed wife
,,Male,,,Fire-drake of Gondolin,Dragon,,
SA 2709,SA 2962,Male,,,Ar-Adûnakhôr,Men,Númenor,Unnamed wife
,,Male,,,Annael,Elves,,
YT,FA 455,Male,Golden,,Angrod,Elves,,Eldalótë
,,,,,Angrim,,,
SA 3219,SA 3440,Male,,,Anárion,Men,Gondor,Unnamed wife
SA 3118,Still alive,Male,,Tall,Ar-Pharazôn,Men,Númenor,Tar-Míriel
SA 2876,SA 3102,Male,,,Ar-Sakalthôr,Men,Númenor,Unnamed wife
SA 2960,SA 3177,Male,,,Ar-Gimilzôr,Men,Númenor,Inzilbêth
TA 2866,TA 2977,Male,,,Angelimir,Men,,Unnamed wife
,,,,,Angelimar,,,
"Late ,Third Age",,Male,,,Angbor,Men,,
"Perhaps ,Firstborn",,,,,Nurwë,Elves,,
,,,,,Linda (Baggins) Proudfoot,,,
,,,,,Bodo Proudfoot,,,
,FA 510,Male,,Tall,Penlod,Elves,,
"Early ,First Age",,Male,,Tallest of the Elves of Gondolin,Pengolodh,Elves,,
TA 654,TA 913,Male,,,Tarannon Falastur,Men,Gondor,Berúthiel
SA 2277,SA 2637,Female,,,Tar-Vanimeldë,Men,Númenor,Herucalmo
SA 1320,SA 1731,Female,,,Tar-Telperiën,Men,Númenor,None
SA 2136,SA 2526,Male,,,Tar-Telemmaitë,Men,Númenor,Unnamed wife
SA 1174,SA 1574,Male,,,Tar-Súrion,Men,Númenor,Unnamed wife
SA 3035,SA 3255,Male,,,Tar-Palantir,Men,Númenor,Unnamed wife
SA 3117,SA 3319,Female,,,Tar-Míriel,Men,Númenor,Ar-Pharazôn
SA 1474,SA 1873,Male,,,Tar-Minastir,Men,Númenor,Unnamed wife
SA 350,SA 751,Male,,,Tar-Elendil,Men,Númenor,Unnamed wife
SA 2516,SA 2825,Male,,,Tar-Calmacil,Men,Númenor,Unnamed wife
SA 1800,SA 2221,Male,,,Tar-Atanamir,Men,Númenor,Unnamed wife
SA 543,SA 942,Male,,,Tar-Meneldur,Men,Númenor,Almarian
SA 2618,SA 2899,Male,,,Tar-Ardamin,Men,Númenor,Unnamed wife
SA 1634,SA 2035,Male,,,Tar-Ciryatan,Men,Númenor,Unnamed wife
SA 1003,SA 1404,Male,,,Tar-Anárion,Men,Númenor,Unnamed wife
SA 873,SA 1285,Female,,,Tar-Ancalimë,Men,Númenor,Hallacar
SA 1986,SA 2386,Male,,,Tar-Ancalimon,Men,Númenor,Unnamed wife
SA 192,SA 603,Male,,,Tar-Amandil,Men,Númenor,Unnamed wife
SA 2406,SA 2737,Male,,,Tar-Alcarin,Men,Númenor,Unnamed wife
,,,,,Tanta (Hornblower) Baggins,,,
TA 2922,,Female,Dark,Tall,Morwen Steelsheen,Men,Rohan,Thengel
,,,,,Squint-eyed Southerner,,,
SA 799,"Early ,Second Age",Male,,,Soronto,Men,,None
SA 700,SA 1098,Male,,,Tar-Aldarion,Men,Númenor,Erendis
"YT, and perhaps Firstborn",YT 1495,Male,Black,,Finwë,Elves,"Tirion,Formenos","Míriel Serindë then ,Indis"
YT 1300,FA 465,Male,Golden,,Finrod,Elves,,"Loved ,Amarië but they never married"
"YT during the ,Noontide of Valinor",FA 472,Male,Dark,,Fingon,Elves,Hithlum,
YT 1190,FA 455,Male,Dark,,Fingolfin,Elves,"Hithlum,Beleriand",Anairë
TA 2950,TA 2988,Female,Dark,,Finduilas of Dol Amroth,Men,,Denethor II
First Age,FA 495,Female,Golden,,Finduilas,Elves,,"None; betrothed to ,Gwindor, but never married."
Years of the Trees,,Female,,,Findis,Elves,,
