name,wikiUrl,race,birth,gender,death,hair,height,realm,spouse,_id
Adanel,http://lotr.wikia.com//wiki/Adanel,Human,,Female,,,,,Belemir,ObjectId(5cd99d4bde30eff6ebccfbbe)
Adrahil I,http://lotr.wikia.com//wiki/Adrahil_I,Human,"Before ,TA 1944",Male,"Late ,Third Age",,,,,ObjectId(5cd99d4bde30eff6ebccfbbf)
Adrahil II,http://lotr.wikia.com//wiki/Adrahil_II,Human,TA 2917,Male,TA 3010,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbc0)
Aegnor,http://lotr.wikia.com//wiki/Aegnor,Elf,"YT during the ,Noontide of Valinor",Male,FA 455,Golden,,,"Loved ,Andreth but remained unmarried",ObjectId(5cd99d4bde30eff6ebccfbc1)
Aerin,http://lotr.wikia.com//wiki/Aerin,Human,"Mid ,First Age",Female,FA 495,,,,Brodda,ObjectId(5cd99d4bde30eff6ebccfbc2)
Ailinel,http://lotr.wikia.com//wiki/Ailinel,Human,"Between ,SA 700, and ,SA 750",Female,"Early ,Second Age",,,,Orchaldor,ObjectId(5cd99d4bde30eff6ebccfbc3)
Aglahad,http://lotr.wikia.com//wiki/Aglahad,Human,TA 2827,Male,TA 2932,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbc4)
Algund,http://lotr.wikia.com//wiki/Algund,Human,"Late ,First Age",Male,FA 489,,,,None known,ObjectId(5cd99d4bde30eff6ebccfbc5)
Almiel,http://lotr.wikia.com//wiki/Almiel,Human,"Between ,SA 700, and ,SA 750",Female,"Early ,Second Age",,,,,ObjectId(5cd99d4bde30eff6ebccfbc6)
Alphros,http://lotr.wikia.com//wiki/Alphros,Human,TA 3017,Male,FO 95,,,,,ObjectId(5cd99d4bde30eff6ebccfbc7)
Almarian,http://lotr.wikia.com//wiki/Almarian,Human,,Female,,,,Númenor,Tar-Meneldur,ObjectId(5cd99d4bde30eff6ebccfbc8)
Amandil,http://lotr.wikia.com//wiki/Amandil,Human,"Late ,Second Age",Male,Sailed West either SA 3310 fate unknown,,,,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbc9)
Amarië,http://lotr.wikia.com//wiki/Amari%C3%AB,Elf,YT,Female,Still alive,,,,"Loved ,Finrod, but it is unknown whether they married",ObjectId(5cd99d4bde30eff6ebccfbca)
Aldor,http://lotr.wikia.com//wiki/Aldor,Human,TA 2544,Male,TA 2645,,,Rohan,Unnamed wife,ObjectId(5cd99d4bde30eff6ebccfbcb)
